6 10 4733
11250 12307.5 14121 19080 7000
major : 348214, -577, -916, 52.69, 169750, 1
regional : 217217, -108, -48, 84.81, 162800, 2
major : 973468, -1357, -1489, 62.26, 182750, 2
major : 681038, 327, 400, 51.37, 184000, 1
regional : 243403, -1062, 2376, 74.14, 144600, 1
major : 160336, 1102, 2863, 50.71, 237750, 1
hub : 317791, 570, -735, 63.03, 171600, 3
regional : 209342, 1264, 0, 103.84, 194000, 1
regional : 811391, -2782, 1734, 74.91, 181400, 2
regional : 211062, -269, 1468, 82.72, 147200, 1
economy : 3684327381, 140, 2, [209342, 811391]
economy : 2270659691, 126, 2, [317791, 243403]
luxury : 7636644243, 178, 6, [681038, 160336]
economy : 7186425413, 181, 0, [681038, 209342]
economy : 6588669389, 48, 8, [217217, 681038]
economy : 8176965315, 50, 6, [217217, 348214]
economy : 9356163177, 181, 1, [811391, 317791]
first : 2536539019, 41, 4, [973468, 681038]
economy : 1301081849, 132, 1, [348214, 317791]
economy : 3816475967, 105, 2, [211062, 317791]
first : 7880114651, 181, 0, [209342, 160336]
economy : 3054697327, 154, 1, [160336, 317791]
economy : 1204479444, 182, 4, [243403, 211062]
business : 7804918978, 94, 1, [211062, 973468]
economy : 3100141403, 99, 1, [681038, 217217]
economy : 8389999833, 171, 0, [811391, 973468]
economy : 5533056449, 189, 2, [681038, 160336]
economy : 6782902744, 177, 1, [209342, 317791]
business : 4075250715, 106, 0, [973468, 217217]
economy : 5685850135, 153, 1, [243403, 317791]
business : 1470899430, 167, 3, [211062, 160336]
first : 9785598404, 182, 0, [160336, 317791]
business : 8710828118, 121, 6, [243403, 681038]
business : 8353613696, 122, 2, [160336, 217217]
economy : 6617459861, 121, 1, [209342, 160336]
first : 1340487399, 70, 5, [211062, 811391]
business : 3414561243, 112, 3, [317791, 217217]
business : 1055612239, 47, 1, [209342, 317791]
economy : 5556484100, 49, 2, [211062, 317791]
economy : 3767320840, 139, 1, [348214, 211062]
economy : 4457296188, 100, 3, [811391, 209342]
economy : 9868726899, 164, 5, [217217, 811391]
economy : 5092770856, 163, 2, [217217, 681038]
economy : 6664573036, 105, 5, [348214, 211062]
economy : 4253920509, 193, 2, [317791, 348214]
economy : 9306485019, 149, 2, [681038, 317791]
economy : 4043568192, 193, 9, [348214, 209342]
economy : 5238561908, 120, 1, [160336, 317791]
economy : 6441712603, 102, 1, [973468, 217217]
business : 4277116277, 76, 1, [681038, 160336]
economy : 6338810757, 183, 7, [217217, 317791]
economy : 5595633943, 167, 2, [973468, 317791]
first : 1926769569, 50, 3, [973468, 211062]
business : 2387156262, 52, 5, [811391, 243403]
economy : 8258201063, 160, 0, [973468, 681038]
economy : 2162730701, 177, 2, [160336, 243403]
economy : 4036801914, 96, 3, [317791, 243403]
economy : 1373547367, 83, 0, [160336, 243403]
business : 4274214279, 93, 2, [243403, 211062]
economy : 4419006051, 91, 2, [317791, 211062]
first : 5909568826, 108, 0, [811391, 211062]
first : 5029743129, 184, 1, [217217, 973468]
business : 6550328142, 155, 3, [973468, 243403]
economy : 6112321149, 171, 2, [317791, 209342]
economy : 8866271037, 172, 4, [160336, 209342]
economy : 7273013559, 76, 2, [348214, 209342]
business : 3540046236, 49, 5, [811391, 217217]
economy : 8063917301, 76, 2, [681038, 217217]
economy : 7399781214, 128, 1, [811391, 211062]
economy : 6241059803, 98, 2, [243403, 973468]
first : 8227176684, 183, 1, [211062, 317791]
economy : 8819417151, 65, 1, [348214, 973468]
economy : 4917800948, 177, 1, [811391, 160336]
economy : 8753993106, 107, 3, [209342, 317791]
business : 5383850879, 169, 1, [681038, 209342]
first : 7780989504, 106, 2, [209342, 681038]
economy : 6263543116, 159, 1, [317791, 811391]
economy : 3696161186, 45, 1, [348214, 973468]
economy : 5731904410, 104, 6, [348214, 681038]
economy : 9559493134, 131, 2, [681038, 348214]
economy : 1085958481, 104, 0, [160336, 348214]
economy : 3290036903, 144, 5, [209342, 973468]
economy : 4367231546, 98, 0, [681038, 811391]
economy : 9760426849, 175, 0, [348214, 811391]
economy : 8588369296, 144, 1, [217217, 681038]
economy : 2520649176, 43, 0, [317791, 160336]
economy : 3280862472, 191, 2, [160336, 811391]
economy : 7136466575, 45, 1, [160336, 211062]
economy : 4760421388, 170, 0, [681038, 317791]
economy : 9231969514, 145, 1, [217217, 681038]
economy : 1242267489, 87, 2, [209342, 973468]
economy : 2521943613, 100, 7, [348214, 160336]
economy : 8427028702, 159, 1, [348214, 681038]
economy : 3458791331, 56, 2, [348214, 317791]
economy : 1333510780, 87, 2, [681038, 211062]
first : 3153330613, 96, 1, [973468, 811391]
luxury : 4840889775, 131, 0, [348214, 160336]
economy : 4061453019, 44, 1, [243403, 973468]
business : 8312693490, 57, 2, [681038, 811391]
luxury : 9792856677, 143, 10, [217217, 160336]
economy : 9789610816, 79, 2, [973468, 217217]
economy : 6869260916, 50, 2, [217217, 681038]
economy : 8167523383, 123, 1, [973468, 209342]
economy : 5931299988, 56, 0, [811391, 209342]
economy : 6100358805, 178, 1, [243403, 317791]
economy : 7378167399, 163, 0, [317791, 217217]
economy : 7738136951, 164, 5, [160336, 681038]
business : 2261694405, 143, 1, [211062, 681038]
first : 8821201792, 112, 1, [160336, 681038]
economy : 2907041147, 182, 0, [973468, 681038]
economy : 6357513852, 104, 2, [681038, 209342]
business : 3114105020, 145, 3, [348214, 211062]
business : 5667414539, 180, 5, [243403, 811391]
economy : 2547967370, 173, 9, [973468, 211062]
economy : 4783101775, 181, 5, [209342, 811391]
economy : 8889668127, 142, 3, [681038, 811391]
economy : 8209228680, 156, 1, [217217, 681038]
economy : 2705428806, 168, 2, [811391, 209342]
economy : 7708153437, 75, 1, [209342, 681038]
first : 3016559381, 193, 2, [811391, 209342]
economy : 7047444399, 197, 1, [811391, 973468]
economy : 4527411057, 94, 2, [973468, 211062]
business : 9716270774, 179, 7, [243403, 348214]
economy : 9972359135, 97, 5, [217217, 211062]
economy : 4125043560, 69, 2, [209342, 348214]
luxury : 8647709085, 118, 9, [209342, 348214]
economy : 5754036629, 60, 1, [160336, 811391]
business : 2485462198, 67, 0, [973468, 811391]
economy : 5333850213, 162, 1, [681038, 211062]
economy : 7263371072, 181, 2, [217217, 211062]
economy : 5713048433, 67, 1, [317791, 681038]
economy : 4294721178, 60, 9, [243403, 209342]
economy : 6986140807, 175, 1, [681038, 811391]
economy : 1154688614, 124, 2, [348214, 681038]
economy : 8939282669, 55, 3, [811391, 348214]
economy : 6679914731, 166, 5, [811391, 211062]
economy : 8787098090, 194, 8, [681038, 811391]
economy : 8507849090, 128, 3, [811391, 348214]
economy : 1489220624, 188, 1, [973468, 317791]
economy : 3153612644, 54, 7, [681038, 243403]
economy : 3034486703, 174, 1, [211062, 209342]
business : 7300461617, 48, 1, [317791, 681038]
economy : 6757101083, 164, 1, [243403, 160336]
business : 6981454637, 126, 1, [160336, 348214]
economy : 7135337373, 60, 2, [973468, 243403]
economy : 4630009599, 43, 1, [160336, 317791]
economy : 9593638408, 40, 1, [209342, 681038]
economy : 1814601405, 77, 1, [317791, 811391]
business : 1507020765, 160, 4, [209342, 243403]
business : 5636002813, 139, 1, [811391, 217217]
first : 8147890932, 62, 8, [160336, 211062]
economy : 5311308080, 132, 6, [811391, 317791]
economy : 3072487434, 191, 1, [243403, 811391]
first : 9963754089, 79, 10, [209342, 681038]
economy : 5602985442, 117, 2, [317791, 217217]
economy : 7595145094, 97, 0, [811391, 160336]
economy : 4008445709, 47, 5, [811391, 243403]
economy : 2345018373, 59, 8, [211062, 217217]
economy : 1823919646, 53, 9, [681038, 243403]
economy : 8510659095, 123, 2, [811391, 160336]
business : 1361258789, 86, 8, [209342, 211062]
economy : 6184269116, 200, 1, [681038, 811391]
economy : 9097337134, 140, 0, [160336, 243403]
economy : 5908954037, 148, 2, [160336, 681038]
economy : 2864918731, 73, 1, [973468, 211062]
first : 4928423734, 80, 2, [160336, 348214]
business : 6397903646, 86, 9, [217217, 973468]
economy : 8978534074, 168, 4, [217217, 211062]
economy : 1053249895, 200, 2, [217217, 209342]
economy : 2601671791, 176, 9, [160336, 317791]
economy : 9626345873, 54, 0, [160336, 681038]
economy : 4392406047, 41, 9, [317791, 209342]
business : 9612560479, 81, 4, [317791, 348214]
economy : 1626570432, 71, 1, [243403, 217217]
economy : 4572465339, 59, 1, [211062, 243403]
economy : 7635360136, 81, 1, [973468, 681038]
economy : 4082545212, 134, 6, [217217, 209342]
economy : 5845904038, 160, 7, [160336, 209342]
economy : 3407028955, 138, 1, [160336, 681038]
economy : 1240238626, 100, 4, [681038, 217217]
first : 5927657730, 81, 1, [243403, 209342]
business : 9156095710, 178, 1, [681038, 811391]
luxury : 7338904198, 118, 0, [317791, 243403]
economy : 9823300803, 177, 9, [811391, 973468]
economy : 5994830735, 115, 10, [160336, 681038]
economy : 4284174774, 186, 0, [317791, 211062]
economy : 6536529551, 113, 2, [209342, 160336]
economy : 5861902061, 137, 1, [348214, 973468]
economy : 2373604182, 157, 1, [211062, 811391]
business : 9881253797, 78, 1, [973468, 243403]
business : 9071378339, 132, 3, [973468, 243403]
business : 8281514129, 104, 1, [811391, 160336]
economy : 1521365735, 56, 0, [973468, 811391]
economy : 4499302268, 106, 2, [973468, 811391]
economy : 8860255942, 117, 0, [681038, 317791]
economy : 1051328406, 153, 2, [973468, 811391]
economy : 6247369911, 189, 1, [243403, 211062]
economy : 2162525639, 41, 3, [211062, 243403]
economy : 2867157686, 156, 2, [348214, 160336]
luxury : 5622701927, 171, 3, [348214, 973468]
economy : 4104368051, 133, 8, [217217, 317791]
economy : 7312070467, 92, 0, [209342, 317791]
economy : 1215721204, 74, 1, [973468, 160336]
economy : 6222398342, 89, 0, [681038, 211062]
economy : 9591008064, 102, 2, [211062, 160336]
economy : 4559107645, 120, 0, [217217, 348214]
economy : 6212344345, 46, 4, [681038, 209342]
economy : 3460025465, 120, 8, [209342, 217217]
luxury : 4027952982, 122, 1, [160336, 243403]
economy : 6121582494, 72, 3, [217217, 317791]
business : 8446500620, 157, 2, [681038, 211062]
first : 8478629096, 48, 2, [217217, 348214]
economy : 5144354692, 92, 2, [211062, 160336]
economy : 7376377530, 170, 1, [681038, 243403]
economy : 4834950820, 142, 4, [317791, 243403]
economy : 7255538965, 106, 4, [211062, 348214]
economy : 4780376211, 88, 2, [811391, 160336]
first : 8018740691, 188, 2, [811391, 211062]
economy : 8901270261, 168, 0, [160336, 317791]
economy : 1638232443, 117, 2, [209342, 211062]
economy : 4397820629, 174, 2, [243403, 211062]
economy : 1668159018, 163, 1, [811391, 209342]
economy : 1258785631, 120, 2, [317791, 811391]
economy : 8740103017, 69, 3, [348214, 973468]
economy : 5527621218, 156, 1, [243403, 973468]
economy : 8638331906, 86, 2, [681038, 973468]
business : 6178366170, 153, 2, [243403, 348214]
first : 4662840472, 84, 2, [243403, 217217]
economy : 7093427252, 90, 2, [217217, 681038]
business : 1139105708, 62, 1, [160336, 317791]
business : 5877282018, 200, 1, [348214, 317791]
economy : 7809375546, 63, 1, [211062, 217217]
economy : 1167995937, 129, 2, [211062, 317791]
economy : 3517740916, 190, 1, [348214, 317791]
first : 1888723141, 75, 1, [348214, 217217]
first : 2304824715, 47, 2, [209342, 160336]
economy : 1136978483, 71, 1, [209342, 973468]
economy : 3349713445, 169, 1, [317791, 681038]
economy : 7473665994, 179, 2, [160336, 243403]
economy : 3584809711, 85, 0, [973468, 160336]
first : 3039325316, 76, 2, [317791, 211062]
economy : 2519388044, 200, 0, [211062, 160336]
economy : 7283776507, 81, 2, [681038, 317791]
economy : 3909922399, 64, 2, [209342, 348214]
economy : 3931532624, 77, 5, [811391, 217217]
business : 3642794087, 60, 3, [217217, 317791]
economy : 4242733177, 44, 4, [811391, 243403]
business : 5864740888, 56, 8, [211062, 811391]
economy : 3670210575, 172, 1, [209342, 211062]
economy : 1020489332, 87, 5, [973468, 243403]
luxury : 5903967098, 145, 2, [348214, 217217]
economy : 6612118776, 131, 1, [217217, 973468]
economy : 3855474616, 44, 8, [211062, 681038]
economy : 6093368587, 186, 1, [211062, 811391]
economy : 3059482915, 57, 1, [348214, 211062]
first : 9503898158, 105, 9, [811391, 681038]
economy : 6830233772, 63, 2, [348214, 160336]
economy : 1823688013, 145, 6, [973468, 811391]
economy : 3653451048, 139, 2, [317791, 217217]
economy : 6876915498, 62, 5, [209342, 211062]
economy : 2926649946, 107, 0, [211062, 681038]
economy : 3851428693, 65, 4, [209342, 348214]
economy : 9185056330, 193, 2, [681038, 317791]
economy : 9275765976, 74, 2, [160336, 217217]
economy : 1437637580, 174, 1, [243403, 209342]
economy : 7717405085, 155, 5, [348214, 160336]
economy : 2637948546, 84, 5, [973468, 317791]
business : 1317972312, 198, 3, [973468, 317791]
economy : 3638376342, 112, 2, [973468, 681038]
business : 8440133660, 43, 5, [160336, 217217]
business : 1671835347, 124, 1, [811391, 211062]
economy : 3417633446, 141, 0, [211062, 348214]
economy : 5820059021, 94, 1, [317791, 160336]
economy : 3208984323, 84, 6, [160336, 317791]
economy : 7655093424, 51, 1, [160336, 317791]
economy : 2743718525, 125, 1, [317791, 348214]
economy : 6456501315, 58, 7, [973468, 811391]
economy : 7121731896, 187, 1, [217217, 317791]
economy : 8745965215, 46, 2, [209342, 317791]
economy : 6656962823, 41, 4, [211062, 243403]
economy : 2129271567, 95, 1, [209342, 348214]
business : 9762074987, 66, 1, [317791, 681038]
business : 2038866003, 140, 1, [973468, 681038]
business : 2951243285, 122, 3, [211062, 348214]
economy : 6621980665, 179, 2, [217217, 160336]
economy : 9080687262, 143, 7, [209342, 973468]
luxury : 6576287365, 85, 1, [160336, 973468]
business : 8201309619, 40, 1, [348214, 811391]
business : 9438072393, 42, 1, [973468, 211062]
economy : 2762921077, 137, 0, [681038, 811391]
economy : 3176208860, 169, 9, [211062, 217217]
luxury : 8968280958, 176, 3, [211062, 243403]
economy : 9385882600, 173, 0, [160336, 217217]
economy : 3867184647, 184, 3, [973468, 243403]
economy : 3203270354, 101, 2, [243403, 211062]
business : 9687765777, 106, 2, [681038, 217217]
business : 9559802394, 66, 2, [160336, 209342]
business : 7035751602, 40, 4, [209342, 317791]
economy : 8986667516, 139, 2, [211062, 348214]
economy : 8992275626, 114, 4, [973468, 681038]
first : 6217762679, 157, 3, [160336, 209342]
economy : 3128927972, 65, 0, [348214, 160336]
luxury : 1935876773, 56, 4, [348214, 317791]
business : 8939801231, 68, 3, [211062, 973468]
business : 6150122952, 137, 1, [811391, 973468]
economy : 5696684084, 103, 2, [217217, 811391]
economy : 6428992690, 105, 0, [209342, 317791]
economy : 4529050820, 65, 0, [209342, 243403]
luxury : 1103981883, 144, 2, [811391, 209342]
economy : 1787603708, 87, 1, [317791, 681038]
first : 6654065102, 162, 1, [243403, 317791]
economy : 6710507830, 155, 1, [217217, 317791]
economy : 6283984320, 90, 1, [243403, 348214]
economy : 4899163857, 45, 1, [973468, 348214]
economy : 1855121166, 85, 2, [209342, 217217]
business : 8820847773, 115, 2, [811391, 160336]
economy : 9206005971, 132, 0, [209342, 348214]
economy : 1306770620, 105, 0, [211062, 348214]
economy : 2487120240, 191, 1, [243403, 681038]
economy : 5223500431, 58, 1, [811391, 348214]
economy : 9351157270, 185, 2, [681038, 243403]
economy : 5217755261, 129, 9, [317791, 348214]
economy : 1401374674, 183, 3, [973468, 317791]
economy : 6276617871, 152, 9, [681038, 217217]
business : 2794117597, 84, 1, [681038, 211062]
economy : 5820732118, 73, 1, [243403, 348214]
business : 4944460241, 73, 0, [348214, 211062]
economy : 5574034715, 178, 4, [211062, 209342]
economy : 7839659447, 103, 2, [681038, 348214]
business : 5801846267, 179, 1, [973468, 243403]
business : 3280698238, 172, 2, [217217, 160336]
first : 8245072017, 49, 2, [973468, 211062]
economy : 4142662548, 139, 1, [243403, 160336]
economy : 1812227179, 110, 3, [217217, 681038]
economy : 2624723275, 70, 1, [211062, 217217]
first : 3083693119, 163, 3, [243403, 211062]
economy : 3779438407, 45, 1, [217217, 243403]
economy : 2457566123, 186, 2, [160336, 317791]
economy : 2999869679, 182, 2, [317791, 217217]
economy : 1044325625, 49, 2, [681038, 160336]
economy : 2811795294, 65, 1, [811391, 317791]
economy : 5502599837, 53, 6, [811391, 160336]
business : 8277421204, 48, 4, [681038, 811391]
luxury : 4070951494, 84, 9, [317791, 348214]
economy : 1665812006, 55, 3, [681038, 160336]
economy : 8436882877, 81, 1, [243403, 317791]
first : 4410218648, 81, 2, [681038, 217217]
economy : 1486761124, 157, 1, [317791, 243403]
business : 6666818036, 52, 0, [973468, 681038]
economy : 4350035066, 43, 3, [811391, 211062]
economy : 6552241085, 190, 5, [348214, 243403]
economy : 9657619666, 144, 0, [681038, 348214]
economy : 3466089326, 62, 1, [973468, 243403]
luxury : 5066721507, 76, 3, [348214, 160336]
economy : 2168972162, 127, 0, [243403, 348214]
economy : 3701837399, 184, 2, [243403, 681038]
economy : 4905753471, 74, 1, [160336, 681038]
economy : 4672049589, 91, 9, [243403, 209342]
economy : 3560871255, 48, 9, [811391, 681038]
economy : 4445016616, 74, 1, [811391, 209342]
business : 3184208808, 58, 2, [811391, 160336]
economy : 1512750586, 43, 5, [681038, 160336]
economy : 7770158564, 165, 4, [211062, 348214]
business : 5989924287, 176, 1, [811391, 348214]
economy : 3437382417, 62, 4, [348214, 211062]
first : 9631329846, 73, 6, [811391, 681038]
business : 3770588928, 57, 3, [160336, 243403]
economy : 3286272582, 69, 2, [811391, 217217]
economy : 4593748561, 196, 7, [973468, 317791]
luxury : 2847807044, 77, 2, [317791, 348214]
economy : 4451473328, 177, 6, [681038, 160336]
economy : 6569606050, 196, 4, [317791, 160336]
business : 7831955248, 102, 0, [317791, 160336]
economy : 1963767463, 161, 4, [973468, 811391]
economy : 6953142359, 76, 2, [217217, 209342]
economy : 6561209901, 186, 0, [973468, 209342]
economy : 4366813316, 46, 6, [811391, 348214]
first : 2077598429, 179, 2, [209342, 211062]
economy : 5097611427, 128, 2, [209342, 681038]
business : 8235388104, 111, 3, [348214, 160336]
economy : 1779194387, 60, 0, [243403, 211062]
business : 9564628764, 52, 10, [243403, 317791]
economy : 8226809579, 199, 5, [217217, 211062]
economy : 1615158815, 175, 6, [217217, 211062]
economy : 5261214327, 52, 1, [317791, 811391]
economy : 7160598954, 132, 9, [973468, 317791]
economy : 7347050440, 192, 0, [317791, 211062]
economy : 2956852475, 59, 2, [681038, 160336]
business : 2283215709, 119, 2, [243403, 160336]
business : 2977851486, 90, 2, [317791, 973468]
economy : 4697086813, 138, 1, [317791, 973468]
economy : 8669456976, 185, 1, [811391, 217217]
economy : 2345922657, 141, 1, [160336, 243403]
economy : 2795692903, 128, 9, [160336, 348214]
economy : 1220038424, 162, 1, [209342, 217217]
economy : 9102626565, 189, 2, [348214, 811391]
first : 9278603804, 89, 10, [211062, 317791]
first : 7511142539, 119, 1, [160336, 348214]
economy : 9409724080, 50, 1, [681038, 217217]
economy : 8340851023, 140, 3, [243403, 209342]
economy : 8080288262, 95, 6, [209342, 317791]
economy : 7690573694, 121, 1, [243403, 209342]
first : 6087780704, 94, 8, [681038, 217217]
economy : 8111438546, 187, 0, [317791, 973468]
economy : 9465712794, 141, 2, [217217, 211062]
business : 7509556671, 84, 2, [681038, 209342]
economy : 6758848762, 139, 1, [217217, 317791]
first : 4410032713, 131, 2, [681038, 973468]
economy : 9040353626, 190, 1, [211062, 681038]
economy : 6951037132, 174, 1, [209342, 160336]
economy : 2870044993, 154, 2, [243403, 211062]
economy : 6405223983, 63, 9, [243403, 811391]
first : 7749096444, 107, 2, [348214, 211062]
business : 5995409397, 90, 5, [160336, 243403]
economy : 2109823318, 62, 2, [973468, 217217]
economy : 9729065201, 188, 6, [160336, 973468]
economy : 1377744270, 84, 2, [811391, 973468]
economy : 1345113535, 80, 2, [681038, 160336]
economy : 9646990554, 153, 2, [317791, 160336]
business : 3703167454, 155, 0, [348214, 209342]
business : 8584080630, 98, 9, [811391, 211062]
business : 8772726937, 171, 4, [211062, 811391]
luxury : 2754543145, 86, 4, [160336, 811391]
economy : 2358230300, 69, 1, [209342, 811391]
economy : 8622438866, 69, 1, [973468, 209342]
economy : 4227376130, 123, 3, [348214, 160336]
business : 4960167388, 87, 3, [811391, 243403]
business : 3829118978, 79, 10, [681038, 217217]
economy : 4339486135, 132, 1, [160336, 681038]
business : 7725070817, 80, 3, [317791, 211062]
economy : 3288535310, 130, 2, [317791, 160336]
business : 2858361644, 182, 2, [317791, 160336]
economy : 8765054697, 193, 2, [211062, 217217]
first : 7316172941, 148, 3, [217217, 160336]
business : 4498741092, 111, 6, [973468, 348214]
economy : 2443412830, 45, 2, [211062, 973468]
economy : 7017637825, 199, 0, [811391, 317791]
economy : 1879864191, 158, 2, [160336, 217217]
business : 9409377919, 167, 8, [160336, 211062]
economy : 8635766422, 157, 2, [973468, 243403]
business : 5154846939, 73, 7, [243403, 217217]
economy : 3186596928, 169, 6, [973468, 681038]
economy : 3736496614, 179, 3, [243403, 681038]
business : 8034771434, 107, 3, [160336, 211062]
business : 7877025150, 64, 8, [211062, 973468]
economy : 6709498343, 70, 3, [811391, 348214]
economy : 1634721776, 109, 1, [217217, 811391]
economy : 3956446391, 42, 0, [211062, 217217]
business : 7103890225, 61, 0, [348214, 681038]
first : 6994085656, 73, 10, [973468, 243403]
economy : 2221872728, 80, 2, [243403, 681038]
economy : 5713217918, 75, 1, [973468, 811391]
economy : 2736697871, 194, 0, [681038, 217217]
economy : 3166452796, 116, 2, [348214, 160336]
economy : 2129697539, 162, 0, [811391, 348214]
economy : 1286408212, 78, 6, [681038, 348214]
economy : 1442629448, 87, 0, [681038, 811391]
business : 3928073717, 166, 0, [317791, 811391]
business : 4838893608, 52, 3, [160336, 317791]
first : 1400913162, 168, 1, [811391, 211062]
economy : 9230256935, 41, 1, [681038, 811391]
business : 2598603195, 148, 1, [973468, 243403]
economy : 8792429945, 144, 4, [211062, 209342]
business : 8682716372, 183, 1, [217217, 160336]
economy : 3898872329, 87, 2, [211062, 317791]
luxury : 7983851902, 80, 3, [217217, 243403]
business : 9870227614, 174, 1, [243403, 217217]
economy : 6385270536, 96, 2, [973468, 211062]
luxury : 9166460019, 79, 2, [217217, 317791]
economy : 3453459541, 144, 1, [211062, 243403]
economy : 6975203830, 60, 2, [973468, 160336]
business : 1582486957, 82, 2, [217217, 243403]
business : 9255382496, 200, 1, [243403, 209342]
luxury : 6015450759, 99, 2, [811391, 209342]
economy : 7201364287, 170, 5, [160336, 209342]
business : 4063131369, 157, 2, [243403, 160336]
economy : 4352415384, 151, 3, [973468, 681038]
economy : 7083128951, 195, 2, [317791, 217217]
business : 2773261821, 59, 7, [243403, 681038]
economy : 5542062293, 70, 2, [681038, 973468]
economy : 3001122865, 52, 7, [217217, 973468]
economy : 3751157379, 106, 4, [209342, 681038]
business : 9410740328, 93, 2, [973468, 348214]
first : 5993026004, 126, 1, [217217, 973468]
economy : 4389358234, 146, 1, [973468, 317791]
economy : 6057680064, 194, 1, [681038, 317791]
economy : 3576647616, 189, 1, [209342, 211062]
economy : 1606313364, 133, 1, [811391, 217217]
economy : 1284686767, 99, 1, [317791, 211062]
economy : 3213905802, 172, 3, [160336, 317791]
first : 7764819120, 114, 0, [211062, 348214]
economy : 2380891251, 68, 3, [317791, 681038]
economy : 8602412974, 110, 2, [973468, 811391]
economy : 4781479488, 41, 2, [348214, 811391]
economy : 9418340688, 184, 0, [160336, 317791]
economy : 7088848048, 153, 3, [211062, 160336]
first : 8406852694, 188, 4, [811391, 211062]
business : 8564822422, 189, 3, [209342, 681038]
economy : 3723549431, 58, 2, [209342, 317791]
