28 34 14799
12042 12847.5 14823 21600 6950
regional : 577376, -2049, 5057, 95.15, 116400, 1
major : 573980, 264, -242, 48.84, 248250, 3
regional : 170683, 2611, 5450, 75.24, 131400, 2
regional : 954360, 3915, -35, 94.82, 147400, 2
major : 387608, -1104, -675, 55.11, 177750, 2
major : 315848, 302, 6203, 50.49, 235000, 3
major : 561317, -201, 1964, 76.67, 208750, 1
regional : 247240, 6779, 723, 68.64, 139000, 2
regional : 534531, -2836, 4332, 98.56, 147800, 2
regional : 421291, 708, -283, 74.36, 113600, 2
regional : 244032, 452, 5365, 71.72, 157800, 2
regional : 901768, -1650, -1155, 69.85, 100800, 2
major : 337164, 19, 1445, 48.73, 212750, 2
regional : 420310, -437, 1136, 100.98, 168200, 1
major : 614004, -6396, -1861, 69.41, 140250, 3
regional : 730621, -4401, -2690, 108.02, 143000, 2
major : 766338, -515, -2242, 74.58, 237250, 2
regional : 591766, -1370, 4486, 77.22, 120600, 2
regional : 317969, -2073, -5250, 75.35, 135200, 2
major : 611038, -1520, -720, 69.96, 141750, 3
regional : 328140, 231, 2743, 82.61, 103800, 2
hub : 927166, 6657, 236, 56.43, 186000, 4
regional : 761992, 505, 456, 79.86, 125600, 2
regional : 230731, -3079, -6282, 79.2, 163200, 1
major : 948108, -198, 30, 70.84, 241750, 2
regional : 871898, 2698, -5895, 97.13, 130000, 2
regional : 548890, -5879, -3738, 98.67, 173400, 1
regional : 927692, 1091, 3942, 100.21, 180000, 1
regional : 227851, -1777, -2663, 92.73, 100600, 1
major : 530421, 266, -996, 65.12, 169750, 2
major : 828895, 2449, -2059, 49.06, 176500, 2
hub : 240748, -1189, 1453, 66.0, 297900, 5
regional : 229431, 280, -4859, 105.49, 152600, 1
hub : 545206, -1048, -2798, 42.24, 191100, 4
business : 3437380050, 194, 4, [337164, 573980]
luxury : 5268596991, 87, 3, [548890, 561317]
economy : 5139290300, 144, 0, [577376, 927692]
economy : 7278203089, 82, 6, [227851, 421291]
economy : 8068479141, 62, 2, [611038, 229431]
economy : 8877410480, 121, 0, [871898, 611038]
economy : 9457384147, 47, 2, [591766, 927692]
economy : 8143220768, 128, 7, [548890, 317969]
economy : 7343793193, 79, 5, [227851, 170683]
economy : 3012297606, 171, 0, [927692, 337164]
business : 8864730495, 99, 0, [828895, 927166]
luxury : 8978371149, 137, 4, [828895, 170683]
economy : 2875417585, 42, 4, [561317, 871898]
economy : 6190878310, 51, 3, [227851, 317969]
economy : 7456219145, 73, 1, [530421, 247240]
economy : 8830351748, 151, 2, [315848, 545206]
business : 2670223651, 48, 2, [614004, 577376]
economy : 8291947207, 165, 1, [548890, 614004]
economy : 7150549754, 83, 3, [420310, 766338]
business : 3920687773, 53, 1, [611038, 591766]
business : 1666915273, 116, 2, [561317, 901768]
economy : 7437779377, 102, 1, [548890, 244032]
economy : 3195846428, 83, 2, [871898, 240748]
economy : 4163567564, 184, 3, [548890, 230731]
economy : 3452411684, 49, 2, [387608, 614004]
economy : 6120537745, 62, 0, [611038, 315848]
economy : 3498724040, 163, 3, [548890, 421291]
economy : 6887046263, 84, 0, [730621, 577376]
economy : 3412651676, 141, 1, [315848, 927692]
economy : 2134297721, 161, 1, [614004, 545206]
economy : 5851472695, 42, 2, [337164, 927692]
economy : 2974015712, 105, 1, [761992, 948108]
economy : 1929930690, 65, 0, [577376, 545206]
economy : 2988311674, 141, 1, [545206, 230731]
economy : 6897223316, 162, 1, [240748, 573980]
economy : 6928222975, 76, 2, [948108, 534531]
business : 7939851582, 185, 1, [548890, 317969]
business : 8116187175, 93, 1, [317969, 230731]
economy : 3548723477, 66, 1, [927692, 530421]
economy : 3487392918, 93, 6, [530421, 387608]
economy : 4665779523, 155, 1, [828895, 421291]
economy : 9793257820, 133, 2, [247240, 244032]
economy : 5732676777, 155, 6, [534531, 871898]
luxury : 5256582454, 105, 1, [328140, 317969]
economy : 3961233409, 186, 1, [170683, 244032]
economy : 2095182166, 199, 0, [317969, 170683]
economy : 2691178932, 138, 0, [247240, 761992]
economy : 4174942552, 53, 1, [561317, 954360]
economy : 7015496546, 139, 1, [828895, 227851]
first : 3396358626, 184, 1, [247240, 227851]
economy : 7423543299, 75, 6, [328140, 545206]
economy : 3033145805, 194, 4, [948108, 927692]
economy : 8743441617, 98, 0, [240748, 548890]
economy : 6949240851, 191, 1, [548890, 766338]
economy : 6962163638, 99, 10, [227851, 315848]
economy : 5492582203, 55, 1, [948108, 927166]
first : 7816954822, 164, 1, [315848, 230731]
business : 5218210455, 194, 1, [317969, 337164]
business : 6682123892, 154, 0, [573980, 315848]
economy : 7753289214, 134, 1, [730621, 954360]
business : 4326333108, 44, 8, [247240, 548890]
economy : 6503406653, 85, 4, [170683, 591766]
economy : 5788545816, 54, 7, [561317, 387608]
first : 7649371212, 130, 1, [240748, 927692]
luxury : 2686706389, 104, 1, [227851, 420310]
economy : 6800300538, 100, 1, [591766, 614004]
first : 7197255429, 193, 0, [240748, 828895]
economy : 6974892336, 110, 4, [317969, 421291]
economy : 3028849781, 70, 1, [229431, 170683]
economy : 8484420347, 168, 0, [230731, 614004]
business : 2172839950, 188, 5, [317969, 244032]
economy : 5873708960, 188, 5, [387608, 614004]
economy : 1149426770, 62, 1, [927166, 611038]
economy : 4670865261, 92, 3, [530421, 577376]
economy : 7434671336, 94, 3, [954360, 387608]
economy : 6842638357, 150, 2, [317969, 730621]
economy : 7513496941, 82, 1, [954360, 328140]
business : 9838532088, 113, 1, [927166, 927692]
business : 2950121824, 134, 1, [230731, 337164]
economy : 4982184232, 123, 1, [247240, 611038]
economy : 4919641624, 109, 2, [828895, 317969]
luxury : 8748472228, 112, 4, [761992, 730621]
economy : 7839331183, 102, 3, [230731, 954360]
economy : 4939319902, 151, 1, [244032, 948108]
economy : 9951745725, 174, 2, [545206, 317969]
business : 1417416189, 77, 2, [761992, 573980]
business : 9415643976, 121, 0, [247240, 901768]
economy : 7798250486, 119, 1, [573980, 337164]
economy : 1337304267, 75, 0, [227851, 170683]
first : 4116392024, 83, 2, [927692, 573980]
business : 1414132106, 40, 5, [337164, 170683]
economy : 3107632365, 177, 1, [230731, 948108]
economy : 2656110366, 155, 7, [954360, 337164]
economy : 8525915456, 170, 1, [337164, 611038]
economy : 1232700381, 111, 0, [561317, 244032]
first : 5758246619, 54, 1, [421291, 337164]
first : 5479425250, 75, 3, [901768, 561317]
economy : 7249277467, 70, 1, [901768, 927692]
economy : 6572049191, 101, 6, [948108, 927166]
economy : 4436258199, 58, 2, [317969, 828895]
business : 4281416375, 109, 6, [530421, 871898]
economy : 2896305246, 124, 1, [901768, 761992]
economy : 3924683994, 153, 1, [730621, 573980]
business : 8142468240, 54, 0, [871898, 317969]
economy : 5635324324, 134, 4, [247240, 561317]
economy : 2724694424, 150, 1, [317969, 240748]
economy : 6375141572, 198, 1, [614004, 561317]
economy : 7632284289, 122, 1, [244032, 611038]
economy : 9208917312, 139, 1, [548890, 730621]
luxury : 1655660462, 193, 4, [591766, 577376]
economy : 1726366280, 86, 1, [901768, 545206]
first : 3019937822, 146, 0, [420310, 611038]
economy : 9213198762, 145, 2, [730621, 315848]
economy : 6860296893, 183, 0, [227851, 244032]
economy : 8743043247, 65, 1, [170683, 548890]
economy : 2414335089, 171, 1, [530421, 561317]
economy : 2004295003, 43, 1, [170683, 761992]
business : 7569135360, 84, 2, [611038, 170683]
economy : 7031790081, 142, 2, [337164, 548890]
economy : 2134243297, 162, 6, [240748, 591766]
luxury : 3675735906, 137, 1, [387608, 730621]
economy : 4063960703, 163, 0, [387608, 766338]
luxury : 5725906941, 134, 9, [328140, 421291]
economy : 4300494693, 146, 1, [545206, 591766]
business : 3718948282, 87, 2, [534531, 730621]
business : 1357849673, 190, 2, [230731, 573980]
economy : 4078861360, 67, 1, [766338, 530421]
business : 6827865610, 193, 2, [948108, 577376]
first : 8060914975, 131, 3, [730621, 954360]
business : 8112050678, 185, 0, [229431, 230731]
economy : 2395584574, 114, 0, [170683, 247240]
economy : 2996002254, 164, 3, [730621, 761992]
business : 7364784750, 75, 2, [170683, 954360]
economy : 2632765236, 102, 1, [591766, 240748]
economy : 2017233995, 143, 2, [927692, 614004]
economy : 9029689632, 96, 2, [761992, 730621]
business : 8807510624, 155, 7, [317969, 954360]
economy : 6485896523, 113, 1, [591766, 545206]
economy : 8224012205, 65, 4, [591766, 954360]
business : 9624435758, 79, 4, [315848, 948108]
economy : 7413316741, 87, 3, [420310, 229431]
economy : 1423869121, 47, 10, [247240, 244032]
economy : 3034277537, 145, 1, [421291, 317969]
economy : 1154237606, 125, 3, [530421, 730621]
business : 7506873959, 57, 0, [948108, 901768]
economy : 8686789825, 144, 8, [577376, 421291]
economy : 9358004288, 136, 1, [927692, 244032]
economy : 1178654318, 83, 2, [954360, 530421]
economy : 4707712799, 57, 1, [230731, 170683]
economy : 6060131610, 173, 2, [948108, 614004]
first : 6485966601, 143, 1, [761992, 548890]
business : 7926387591, 107, 7, [240748, 317969]
business : 2872309031, 170, 0, [227851, 766338]
economy : 1873093299, 199, 0, [766338, 545206]
economy : 7531252850, 153, 5, [730621, 611038]
economy : 1348021716, 122, 1, [761992, 927692]
economy : 7816714008, 185, 3, [730621, 614004]
economy : 4733235872, 175, 2, [828895, 573980]
luxury : 6620869223, 115, 1, [337164, 948108]
economy : 6390920817, 195, 4, [244032, 315848]
economy : 4470447751, 166, 1, [534531, 766338]
economy : 5854251531, 200, 0, [927166, 534531]
business : 7901294028, 132, 2, [421291, 954360]
economy : 6476398438, 56, 0, [227851, 927692]
economy : 8054272610, 191, 1, [730621, 548890]
economy : 2977494228, 83, 0, [420310, 534531]
economy : 7520462511, 130, 5, [387608, 244032]
economy : 6421793001, 75, 0, [545206, 871898]
economy : 3593092933, 188, 1, [244032, 420310]
economy : 4768392230, 96, 0, [420310, 573980]
economy : 4107168329, 59, 0, [534531, 420310]
economy : 8844879153, 144, 0, [573980, 577376]
economy : 3618997123, 67, 3, [730621, 387608]
business : 8533039010, 145, 6, [954360, 170683]
business : 1148579058, 115, 9, [954360, 761992]
economy : 7642512172, 96, 2, [230731, 927166]
economy : 8445506359, 82, 3, [577376, 387608]
economy : 2742472638, 122, 2, [247240, 317969]
economy : 2218280968, 141, 1, [230731, 948108]
economy : 8478980333, 192, 1, [871898, 337164]
business : 6289481079, 92, 1, [901768, 240748]
economy : 2962556217, 74, 1, [421291, 901768]
first : 1416496300, 199, 4, [227851, 730621]
economy : 6557365825, 134, 0, [315848, 534531]
first : 6486086522, 90, 1, [577376, 387608]
economy : 2558995410, 149, 0, [247240, 530421]
economy : 8068059147, 78, 2, [534531, 927166]
economy : 4077145679, 142, 2, [229431, 387608]
economy : 6350286647, 112, 8, [901768, 614004]
business : 9276916935, 83, 1, [240748, 545206]
business : 4371900883, 59, 7, [227851, 317969]
economy : 4877247430, 151, 1, [534531, 317969]
economy : 6279536578, 80, 1, [548890, 317969]
economy : 4373714169, 78, 0, [421291, 561317]
economy : 2243159253, 48, 1, [561317, 244032]
business : 1464590492, 83, 6, [871898, 315848]
economy : 1030104432, 44, 9, [730621, 315848]
economy : 3663529862, 66, 5, [317969, 227851]
economy : 5471496674, 195, 2, [227851, 244032]
business : 6653928535, 190, 1, [611038, 328140]
economy : 9415975292, 92, 1, [591766, 328140]
economy : 3836857068, 176, 1, [573980, 240748]
economy : 1393831448, 114, 1, [954360, 170683]
economy : 6821904820, 165, 6, [614004, 871898]
economy : 4736271490, 138, 1, [591766, 577376]
economy : 5510960395, 161, 1, [534531, 545206]
business : 1414182637, 74, 2, [230731, 766338]
economy : 1590535129, 62, 1, [230731, 229431]
business : 2344764358, 62, 1, [611038, 317969]
business : 1802432891, 120, 1, [317969, 244032]
economy : 7967856965, 161, 0, [230731, 170683]
economy : 2301808040, 136, 3, [954360, 828895]
economy : 9172421052, 157, 8, [387608, 611038]
economy : 9665533621, 133, 1, [328140, 548890]
economy : 2228558967, 83, 2, [828895, 230731]
economy : 7881242990, 172, 4, [244032, 954360]
business : 5632492262, 46, 4, [328140, 561317]
economy : 7295146170, 60, 3, [534531, 761992]
business : 8781778058, 147, 0, [244032, 561317]
economy : 2270576750, 178, 2, [766338, 730621]
economy : 1881195692, 72, 1, [530421, 247240]
economy : 6581594031, 119, 3, [927166, 927692]
economy : 2584631660, 139, 4, [766338, 577376]
first : 5176131335, 145, 5, [315848, 927166]
economy : 7044898355, 62, 2, [591766, 317969]
economy : 3985283620, 58, 1, [534531, 244032]
economy : 4652768165, 41, 1, [548890, 730621]
economy : 1814691950, 170, 1, [229431, 871898]
business : 5215093374, 162, 0, [573980, 927166]
business : 6482113336, 175, 1, [337164, 247240]
economy : 9598714141, 153, 3, [170683, 954360]
economy : 9272256858, 58, 2, [170683, 530421]
economy : 7351491864, 63, 2, [247240, 244032]
economy : 1748276304, 45, 2, [530421, 229431]
economy : 2156445502, 97, 1, [901768, 328140]
economy : 2855274604, 55, 4, [229431, 244032]
economy : 9602203661, 141, 3, [387608, 530421]
economy : 9906382433, 182, 3, [927166, 317969]
economy : 7374896408, 61, 2, [901768, 315848]
economy : 1372705732, 194, 2, [591766, 387608]
economy : 9606223033, 184, 9, [730621, 954360]
economy : 8961978457, 77, 7, [591766, 545206]
economy : 7718693912, 68, 0, [229431, 548890]
economy : 3735425937, 115, 3, [534531, 766338]
economy : 9566077297, 168, 1, [901768, 730621]
business : 4140118926, 136, 3, [545206, 948108]
economy : 5856805505, 104, 1, [577376, 227851]
economy : 6810057360, 75, 4, [244032, 591766]
economy : 1424797538, 110, 0, [227851, 548890]
economy : 4161108370, 149, 0, [240748, 420310]
economy : 2904968757, 91, 2, [421291, 387608]
economy : 7951103836, 132, 0, [828895, 611038]
economy : 3631271814, 193, 1, [948108, 317969]
economy : 8456942130, 59, 1, [545206, 948108]
business : 7752358822, 81, 6, [545206, 871898]
economy : 1575225584, 186, 1, [240748, 247240]
economy : 4664987180, 119, 0, [948108, 421291]
economy : 1438937040, 69, 1, [328140, 337164]
economy : 9683765756, 150, 1, [761992, 614004]
first : 3745130102, 93, 0, [573980, 421291]
economy : 2407293742, 114, 1, [170683, 530421]
economy : 4196454814, 140, 1, [247240, 227851]
economy : 4761300545, 135, 1, [534531, 901768]
economy : 9332568050, 72, 4, [927692, 170683]
economy : 2371594834, 153, 2, [229431, 317969]
economy : 1337628036, 118, 1, [954360, 421291]
economy : 4630443583, 156, 1, [948108, 387608]
economy : 8759369904, 177, 2, [548890, 420310]
business : 6271650848, 106, 0, [573980, 766338]
first : 5354748401, 197, 2, [530421, 730621]
economy : 9057135929, 75, 2, [240748, 244032]
economy : 7875377077, 46, 8, [948108, 170683]
economy : 6733100529, 98, 3, [387608, 244032]
economy : 3072987656, 56, 0, [614004, 761992]
economy : 8782623620, 107, 1, [573980, 227851]
economy : 4473350270, 159, 2, [730621, 573980]
economy : 5695869481, 107, 2, [577376, 387608]
economy : 3216586661, 143, 1, [247240, 927692]
economy : 1302167236, 155, 2, [954360, 244032]
economy : 2341921936, 176, 1, [229431, 315848]
economy : 3458766989, 48, 2, [244032, 530421]
economy : 9823956545, 68, 1, [244032, 229431]
business : 9941779476, 78, 3, [421291, 611038]
first : 3992244369, 162, 1, [240748, 545206]
economy : 8458817989, 131, 2, [954360, 530421]
economy : 9522827127, 189, 0, [591766, 227851]
economy : 8827789690, 120, 5, [328140, 421291]
business : 5175289381, 118, 1, [317969, 948108]
economy : 5751978585, 119, 9, [548890, 247240]
economy : 5428193682, 163, 0, [227851, 927166]
business : 8389076910, 79, 1, [828895, 247240]
economy : 8573634974, 159, 2, [761992, 317969]
business : 5556894838, 180, 0, [230731, 611038]
business : 5239612077, 89, 2, [420310, 948108]
economy : 4526887560, 74, 2, [387608, 761992]
economy : 8586124556, 62, 2, [561317, 170683]
economy : 4438429615, 175, 3, [328140, 573980]
business : 9636598520, 44, 2, [421291, 766338]
economy : 2600324883, 76, 1, [871898, 240748]
business : 9545069603, 200, 2, [927166, 901768]
economy : 4432163998, 156, 8, [230731, 591766]
economy : 6930583287, 175, 0, [227851, 730621]
business : 4239144905, 88, 3, [534531, 611038]
first : 4610198020, 87, 1, [561317, 230731]
business : 2836216632, 185, 10, [317969, 561317]
economy : 2716717412, 66, 1, [828895, 337164]
economy : 4494932843, 49, 4, [317969, 420310]
luxury : 3899406007, 153, 0, [170683, 421291]
first : 3045106112, 155, 2, [227851, 317969]
business : 1942196759, 40, 3, [170683, 317969]
economy : 5127685198, 191, 1, [387608, 530421]
business : 8950961945, 43, 2, [545206, 317969]
economy : 8972644719, 187, 2, [420310, 247240]
first : 7598201052, 119, 3, [545206, 871898]
first : 7024417529, 77, 4, [761992, 548890]
economy : 7551481004, 112, 1, [948108, 387608]
economy : 6802460505, 42, 0, [761992, 170683]
economy : 7067825444, 66, 1, [561317, 591766]
economy : 5263721535, 92, 1, [420310, 927166]
economy : 7273744461, 96, 1, [328140, 927166]
economy : 9640154858, 143, 1, [420310, 229431]
economy : 6173487325, 182, 1, [247240, 548890]
economy : 2438270229, 49, 3, [387608, 230731]
business : 2798511216, 98, 1, [534531, 730621]
economy : 3501005056, 111, 3, [761992, 247240]
economy : 8398491414, 123, 2, [420310, 240748]
business : 8555997218, 199, 8, [611038, 591766]
economy : 8560054542, 175, 5, [229431, 240748]
economy : 6051890209, 97, 2, [421291, 387608]
economy : 6306228607, 81, 0, [328140, 170683]
economy : 2682939268, 155, 0, [577376, 730621]
economy : 8062702062, 148, 0, [240748, 766338]
first : 7181837710, 66, 1, [927166, 577376]
economy : 1678521781, 130, 5, [315848, 761992]
economy : 9521574595, 59, 1, [387608, 240748]
economy : 7980526858, 115, 1, [573980, 828895]
economy : 3254139562, 148, 1, [530421, 927692]
economy : 5342798916, 161, 2, [421291, 927166]
first : 1917637151, 133, 6, [761992, 328140]
first : 9727865003, 91, 3, [337164, 545206]
economy : 8050008013, 192, 2, [828895, 240748]
economy : 2471105824, 135, 7, [548890, 591766]
economy : 9667462651, 91, 1, [948108, 927166]
economy : 5756247687, 87, 3, [530421, 229431]
economy : 9925230901, 158, 2, [530421, 420310]
luxury : 6106897315, 162, 2, [421291, 761992]
economy : 9144955170, 43, 1, [247240, 328140]
economy : 2775121734, 198, 1, [227851, 927166]
economy : 2336122187, 165, 1, [545206, 730621]
economy : 5759055381, 199, 2, [315848, 871898]
business : 4826381987, 121, 1, [828895, 337164]
economy : 1889995924, 200, 1, [421291, 573980]
economy : 2445603791, 198, 2, [901768, 244032]
economy : 1299859430, 162, 1, [573980, 948108]
economy : 5146489957, 64, 1, [730621, 927166]
business : 1342938634, 60, 1, [328140, 901768]
economy : 8536686327, 80, 1, [387608, 948108]
economy : 2679888527, 93, 4, [954360, 828895]
economy : 9516155663, 197, 1, [573980, 730621]
economy : 1723185080, 173, 2, [591766, 901768]
economy : 6402422216, 192, 1, [548890, 530421]
economy : 3083518178, 111, 9, [901768, 611038]
economy : 2231860076, 155, 10, [337164, 229431]
business : 9273121859, 179, 1, [240748, 545206]
business : 2706272844, 60, 1, [534531, 828895]
business : 5771714669, 87, 0, [530421, 561317]
economy : 2243484320, 162, 2, [227851, 948108]
economy : 7768853202, 191, 1, [170683, 901768]
economy : 6644763720, 86, 5, [591766, 561317]
economy : 2901031262, 63, 3, [420310, 828895]
business : 2520396148, 178, 0, [766338, 387608]
economy : 8121995058, 57, 2, [954360, 611038]
economy : 4415180255, 152, 0, [948108, 577376]
economy : 7924016037, 88, 2, [530421, 954360]
economy : 2306085476, 69, 0, [871898, 420310]
economy : 5485399136, 123, 1, [545206, 240748]
economy : 3978869521, 57, 1, [337164, 317969]
economy : 8004929258, 45, 2, [591766, 611038]
economy : 3952158478, 132, 3, [227851, 577376]
business : 9096552319, 105, 1, [954360, 387608]
business : 9669185170, 89, 2, [611038, 948108]
business : 1818346167, 160, 4, [548890, 315848]
economy : 5420665858, 75, 9, [948108, 828895]
economy : 3665561786, 192, 5, [561317, 229431]
economy : 5587353729, 91, 1, [577376, 948108]
economy : 8097148639, 67, 0, [337164, 244032]
economy : 4268714680, 151, 1, [420310, 337164]
business : 8225976108, 88, 3, [948108, 244032]
economy : 1961946988, 172, 1, [170683, 545206]
economy : 4256646035, 183, 2, [328140, 730621]
economy : 1796760181, 137, 1, [420310, 548890]
business : 2408717617, 80, 3, [548890, 927692]
economy : 9097995234, 132, 1, [240748, 561317]
business : 4240423074, 88, 1, [170683, 387608]
economy : 4196819079, 122, 0, [614004, 954360]
economy : 2685408753, 139, 2, [828895, 577376]
business : 6029316439, 92, 3, [611038, 901768]
economy : 9136582376, 58, 2, [545206, 534531]
business : 7869606431, 128, 1, [387608, 240748]
business : 5089471374, 132, 5, [948108, 730621]
economy : 9764551186, 126, 2, [229431, 927692]
economy : 3262005133, 83, 0, [614004, 534531]
economy : 9456353349, 105, 2, [317969, 927166]
economy : 6328280940, 159, 1, [573980, 240748]
economy : 5872921038, 159, 1, [954360, 230731]
business : 8883111006, 54, 3, [548890, 530421]
economy : 1895259049, 51, 2, [170683, 730621]
economy : 1643164555, 127, 3, [227851, 761992]
business : 2774644351, 69, 0, [766338, 227851]
economy : 2989389703, 41, 1, [614004, 577376]
economy : 7250357892, 149, 0, [534531, 317969]
economy : 5988527157, 123, 2, [954360, 337164]
economy : 8781564623, 85, 2, [730621, 229431]
business : 8258726586, 171, 1, [591766, 614004]
business : 4186437038, 132, 1, [730621, 315848]
economy : 1284475663, 50, 0, [561317, 317969]
business : 3148788902, 168, 0, [954360, 573980]
economy : 4594034088, 74, 1, [420310, 548890]
economy : 4494089797, 63, 3, [954360, 730621]
business : 9097187417, 185, 1, [244032, 611038]
business : 3907013127, 102, 5, [230731, 828895]
business : 8189193838, 89, 6, [227851, 337164]
economy : 3310988363, 169, 1, [927166, 761992]
economy : 5196961619, 143, 0, [761992, 227851]
economy : 2098681669, 160, 7, [545206, 530421]
economy : 1246227098, 158, 1, [561317, 611038]
luxury : 1629164194, 199, 3, [766338, 730621]
economy : 5440919452, 187, 0, [227851, 828895]
economy : 2433378632, 78, 2, [561317, 230731]
economy : 9262850061, 48, 0, [591766, 227851]
economy : 4775629599, 79, 0, [240748, 229431]
economy : 8680766695, 161, 2, [577376, 244032]
economy : 2248767425, 130, 7, [530421, 317969]
economy : 3897578311, 57, 1, [948108, 573980]
economy : 2000663513, 189, 3, [247240, 591766]
first : 9236207608, 136, 2, [948108, 761992]
business : 2050706323, 102, 1, [927692, 244032]
business : 5230434904, 110, 7, [614004, 170683]
economy : 4810642096, 169, 0, [530421, 548890]
economy : 1545518721, 93, 1, [927692, 247240]
economy : 3768899376, 142, 1, [420310, 614004]
economy : 4359689630, 172, 1, [871898, 545206]
business : 2853050455, 150, 3, [761992, 244032]
economy : 1067880079, 95, 2, [871898, 534531]
economy : 9610859186, 115, 6, [317969, 227851]
economy : 8766738620, 86, 1, [611038, 548890]
economy : 6377316494, 78, 1, [240748, 170683]
business : 4098389043, 75, 3, [315848, 337164]
economy : 9445574848, 174, 0, [766338, 761992]
first : 9658769834, 92, 8, [545206, 247240]
economy : 6769385774, 115, 1, [548890, 828895]
business : 6828917048, 124, 0, [927166, 229431]
economy : 8568377232, 42, 1, [573980, 828895]
economy : 2294438714, 75, 1, [761992, 530421]
economy : 5442739607, 138, 3, [244032, 766338]
economy : 3860855957, 125, 3, [421291, 244032]
economy : 7075423285, 185, 1, [577376, 420310]
first : 4530181794, 87, 1, [927166, 328140]
economy : 8220419146, 128, 2, [170683, 927166]
economy : 4120226522, 143, 2, [591766, 577376]
economy : 7090903409, 138, 9, [170683, 561317]
economy : 1465393287, 150, 1, [328140, 315848]
first : 9963506957, 196, 2, [577376, 761992]
economy : 8327956076, 133, 1, [766338, 545206]
business : 3011402845, 99, 1, [561317, 230731]
economy : 7176353644, 133, 0, [315848, 927166]
economy : 5686478176, 65, 1, [954360, 230731]
economy : 5096978785, 171, 2, [315848, 420310]
economy : 7840161119, 90, 2, [227851, 247240]
business : 9859383302, 73, 3, [317969, 927166]
economy : 7184130520, 79, 1, [170683, 573980]
business : 2710182403, 43, 5, [534531, 530421]
economy : 3016468387, 94, 1, [954360, 927692]
