3 10 9729
11970 14445.0 18333 18360 6650
regional : 267593, 44, -1096, 74.03, 102600, 1
major : 781975, 1704, 0, 47.63, 237250, 2
major : 643504, -1624, -2096, 44.55, 194000, 2
major : 559233, 873, 443, 69.96, 196000, 1
hub : 919072, 134, -1780, 59.95, 253500, 2
major : 422578, 1878, 1496, 55.22, 199500, 1
regional : 655078, -736, 341, 94.49, 108000, 1
major : 954691, 2638, -1366, 53.46, 169250, 3
regional : 599912, 812, 29, 84.15, 148000, 1
major : 771686, -2117, 112, 69.52, 208000, 2
business : 7919823383, 163, 3, [267593, 771686]
luxury : 2688613720, 124, 1, [643504, 655078]
economy : 2306729407, 142, 2, [919072, 559233]
economy : 9001604430, 185, 3, [655078, 422578]
economy : 4114123761, 148, 1, [267593, 771686]
luxury : 3678987770, 141, 0, [643504, 559233]
business : 3980901882, 157, 3, [919072, 781975]
economy : 9680775171, 50, 0, [599912, 267593]
economy : 6108008462, 101, 0, [771686, 919072]
business : 3041533122, 140, 0, [599912, 267593]
economy : 9254027868, 132, 2, [599912, 267593]
economy : 2406864402, 97, 0, [781975, 643504]
economy : 3920315327, 135, 1, [954691, 655078]
economy : 3825048235, 82, 1, [559233, 599912]
economy : 9744278225, 179, 0, [422578, 559233]
business : 9347390366, 161, 2, [919072, 422578]
economy : 2365955567, 53, 1, [655078, 643504]
business : 9233933031, 100, 4, [781975, 919072]
business : 4362239028, 183, 1, [781975, 422578]
economy : 4204306304, 91, 2, [919072, 954691]
business : 6970603604, 153, 2, [422578, 267593]
economy : 9899906481, 159, 9, [655078, 919072]
economy : 7618441522, 117, 6, [954691, 267593]
first : 7542689886, 63, 1, [954691, 655078]
economy : 8635906811, 106, 0, [771686, 599912]
economy : 9960766445, 84, 2, [643504, 559233]
economy : 3250341454, 124, 1, [919072, 771686]
economy : 4516637116, 66, 2, [781975, 643504]
economy : 8873579554, 46, 3, [954691, 559233]
economy : 1098824830, 180, 9, [599912, 954691]
economy : 8736680841, 200, 1, [267593, 599912]
first : 8508030632, 136, 1, [655078, 643504]
economy : 3349336459, 108, 2, [655078, 919072]
economy : 3705579436, 171, 2, [599912, 954691]
economy : 8180690102, 124, 10, [422578, 559233]
economy : 6704961271, 106, 1, [599912, 919072]
business : 4611601513, 125, 2, [655078, 422578]
economy : 4774505328, 118, 0, [643504, 599912]
economy : 5719142716, 124, 2, [559233, 422578]
economy : 1590306467, 193, 5, [267593, 771686]
economy : 5199676140, 138, 1, [267593, 559233]
economy : 3570775777, 103, 2, [643504, 781975]
first : 5230538984, 187, 5, [422578, 643504]
economy : 6684303103, 118, 2, [771686, 954691]
economy : 8921728136, 81, 3, [919072, 655078]
economy : 2820262617, 125, 3, [954691, 771686]
business : 2952061056, 59, 1, [771686, 559233]
economy : 4755033861, 169, 2, [643504, 559233]
luxury : 6278516152, 137, 2, [781975, 422578]
economy : 2079764362, 157, 2, [599912, 954691]
first : 3554447107, 126, 1, [422578, 954691]
economy : 3529676766, 45, 1, [954691, 919072]
economy : 3071699720, 185, 2, [267593, 599912]
economy : 6150175132, 83, 2, [781975, 422578]
economy : 8510898562, 98, 1, [919072, 771686]
economy : 9195578919, 101, 1, [954691, 781975]
economy : 4957350126, 53, 2, [559233, 267593]
economy : 8632997232, 99, 2, [954691, 655078]
luxury : 4284090435, 99, 6, [919072, 781975]
economy : 9517677873, 177, 2, [781975, 422578]
business : 2342409110, 106, 2, [919072, 643504]
luxury : 4828491549, 176, 1, [771686, 919072]
luxury : 7575027845, 153, 0, [771686, 422578]
economy : 1872373274, 198, 1, [655078, 267593]
business : 4258535379, 175, 2, [599912, 954691]
business : 5790009675, 175, 1, [655078, 559233]
economy : 1075070214, 122, 2, [599912, 267593]
economy : 1581267709, 57, 3, [954691, 559233]
economy : 4468789077, 194, 1, [559233, 771686]
economy : 1688509762, 81, 0, [267593, 655078]
economy : 6063791482, 175, 1, [422578, 771686]
economy : 8910112059, 90, 3, [919072, 559233]
economy : 5827094920, 83, 1, [559233, 643504]
economy : 5435991527, 160, 0, [559233, 599912]
economy : 9055098170, 107, 1, [599912, 919072]
economy : 4572842210, 136, 9, [781975, 954691]
first : 6243269590, 163, 1, [267593, 643504]
economy : 8312872693, 117, 9, [655078, 781975]
business : 9933007654, 166, 1, [919072, 559233]
economy : 4045492970, 125, 1, [781975, 655078]
business : 6668719720, 133, 2, [954691, 559233]
economy : 9554173927, 154, 4, [559233, 267593]
business : 8598161580, 143, 0, [655078, 422578]
economy : 4471578484, 187, 0, [559233, 919072]
business : 4459669098, 177, 2, [771686, 643504]
economy : 7953101249, 63, 3, [643504, 422578]
economy : 9247485073, 125, 2, [771686, 267593]
economy : 2964475275, 148, 7, [919072, 655078]
business : 4536315117, 153, 2, [781975, 422578]
economy : 2857687231, 172, 3, [954691, 655078]
business : 9314485059, 132, 1, [422578, 954691]
economy : 4123393478, 168, 2, [919072, 267593]
luxury : 1019712222, 199, 1, [655078, 919072]
economy : 1585883937, 149, 1, [599912, 559233]
economy : 9970849962, 145, 7, [267593, 422578]
first : 7129473069, 134, 2, [954691, 771686]
economy : 4096570619, 117, 9, [771686, 781975]
economy : 5968771292, 165, 2, [643504, 267593]
first : 4092981715, 124, 1, [422578, 655078]
economy : 5510126614, 182, 2, [422578, 267593]
economy : 9334871587, 106, 3, [599912, 267593]
luxury : 8528378240, 175, 1, [643504, 559233]
economy : 6824546842, 115, 1, [781975, 422578]
economy : 3842871191, 180, 2, [422578, 599912]
business : 5489555700, 115, 2, [954691, 919072]
economy : 6314530411, 114, 1, [422578, 643504]
economy : 9105509508, 183, 5, [267593, 643504]
economy : 6937409065, 123, 8, [781975, 771686]
economy : 3875929374, 167, 1, [559233, 655078]
luxury : 3416055335, 124, 2, [781975, 422578]
economy : 3913752310, 82, 2, [655078, 422578]
economy : 4104663536, 58, 1, [954691, 919072]
business : 3608868269, 189, 3, [655078, 267593]
economy : 9248557670, 198, 2, [422578, 919072]
economy : 9351353240, 86, 2, [771686, 559233]
economy : 3415737471, 140, 4, [599912, 559233]
economy : 3803735007, 155, 2, [559233, 599912]
business : 9294971499, 162, 2, [919072, 655078]
first : 2432804828, 41, 2, [919072, 267593]
economy : 2668404320, 118, 1, [643504, 954691]
economy : 1553320422, 47, 2, [599912, 655078]
economy : 3579566130, 170, 4, [267593, 771686]
economy : 8385763490, 169, 6, [954691, 559233]
economy : 4715519085, 101, 1, [919072, 771686]
economy : 1707474389, 94, 3, [267593, 422578]
economy : 2390324474, 107, 0, [919072, 781975]
economy : 9018471294, 84, 0, [781975, 599912]
economy : 5179558056, 75, 6, [954691, 781975]
economy : 1110559141, 168, 2, [919072, 954691]
economy : 2050471300, 177, 3, [771686, 954691]
economy : 9953663351, 126, 2, [954691, 643504]
economy : 6783795290, 192, 4, [559233, 954691]
business : 4927338640, 71, 2, [267593, 954691]
business : 8619074489, 132, 0, [559233, 655078]
business : 2746894364, 167, 0, [599912, 781975]
economy : 3729814485, 136, 0, [559233, 599912]
economy : 9137696089, 112, 3, [643504, 599912]
economy : 2405047479, 111, 1, [954691, 781975]
economy : 3178744920, 126, 3, [422578, 919072]
first : 8351978167, 44, 1, [643504, 559233]
economy : 5957628297, 134, 0, [781975, 267593]
economy : 8955601025, 82, 4, [422578, 771686]
economy : 4537137653, 111, 3, [643504, 781975]
economy : 1260559314, 169, 1, [267593, 422578]
luxury : 7070713447, 84, 5, [599912, 422578]
economy : 6054374936, 152, 1, [954691, 599912]
business : 6014169691, 79, 1, [599912, 643504]
business : 5801007155, 114, 4, [559233, 643504]
economy : 5317744557, 93, 1, [919072, 771686]
economy : 4618784691, 158, 3, [655078, 781975]
business : 1885722520, 117, 2, [919072, 422578]
economy : 2614109879, 195, 1, [599912, 919072]
economy : 8358176611, 57, 1, [422578, 643504]
first : 5043951255, 192, 1, [919072, 771686]
economy : 3336084272, 126, 1, [781975, 643504]
luxury : 8578707404, 120, 6, [919072, 422578]
economy : 2579378941, 101, 1, [919072, 771686]
business : 1585485754, 61, 0, [643504, 954691]
economy : 8334437399, 160, 3, [771686, 559233]
economy : 8160375392, 161, 8, [422578, 267593]
business : 1121211656, 58, 4, [655078, 599912]
economy : 7074066048, 66, 0, [422578, 781975]
economy : 2340473161, 42, 3, [267593, 643504]
business : 6483665138, 118, 5, [267593, 559233]
business : 3387118356, 161, 2, [781975, 559233]
economy : 5653878870, 66, 2, [771686, 422578]
economy : 9831955426, 141, 1, [771686, 919072]
economy : 3868830556, 52, 1, [643504, 422578]
economy : 9294090175, 128, 2, [919072, 781975]
economy : 6678861441, 64, 1, [919072, 422578]
first : 2608987643, 144, 3, [919072, 422578]
first : 8417425051, 84, 0, [559233, 655078]
business : 6517672679, 53, 4, [954691, 781975]
economy : 3405044680, 169, 9, [267593, 919072]
economy : 2044761367, 100, 9, [771686, 781975]
economy : 2092776199, 154, 1, [267593, 771686]
economy : 5261611809, 77, 0, [422578, 919072]
business : 6911097251, 200, 1, [643504, 599912]
economy : 6048707608, 112, 1, [422578, 781975]
luxury : 7535331730, 77, 10, [559233, 771686]
economy : 6025830078, 192, 4, [655078, 954691]
business : 8805068062, 55, 1, [655078, 771686]
economy : 2419801979, 189, 3, [643504, 919072]
economy : 2083204576, 116, 3, [643504, 771686]
economy : 7934964863, 77, 1, [954691, 655078]
economy : 1582420175, 162, 3, [781975, 954691]
economy : 4687670719, 161, 2, [919072, 781975]
economy : 8301036368, 142, 7, [559233, 771686]
first : 4422440008, 76, 1, [559233, 919072]
economy : 8594051273, 74, 7, [781975, 954691]
economy : 9139036034, 145, 1, [559233, 954691]
business : 8156083601, 59, 1, [954691, 422578]
first : 9737656221, 171, 5, [771686, 599912]
economy : 4320746312, 159, 1, [771686, 919072]
business : 6363687227, 169, 1, [954691, 643504]
economy : 8121977178, 80, 2, [781975, 919072]
first : 6383625627, 57, 10, [771686, 267593]
economy : 9603633743, 186, 4, [771686, 954691]
economy : 3134107600, 89, 2, [781975, 267593]
economy : 1260755409, 95, 9, [559233, 599912]
economy : 6810209684, 162, 5, [781975, 655078]
economy : 9709414016, 41, 3, [559233, 919072]
first : 8329913137, 170, 2, [422578, 919072]
business : 8548671074, 137, 1, [771686, 954691]
business : 9241062844, 130, 1, [954691, 599912]
economy : 6632983216, 112, 4, [559233, 599912]
business : 6155696020, 126, 2, [655078, 781975]
economy : 9822952602, 42, 1, [422578, 655078]
business : 9456718963, 87, 1, [559233, 781975]
economy : 5815983895, 178, 9, [919072, 655078]
first : 1259424660, 151, 0, [781975, 919072]
economy : 6831772217, 99, 1, [559233, 599912]
business : 1643375093, 65, 2, [422578, 599912]
economy : 4013505026, 153, 1, [919072, 954691]
economy : 7204969724, 146, 1, [643504, 267593]
business : 5641907972, 181, 2, [655078, 954691]
economy : 3950618918, 59, 5, [771686, 599912]
economy : 8059923020, 197, 0, [559233, 919072]
economy : 9428573683, 162, 1, [781975, 954691]
economy : 1615681742, 164, 1, [954691, 599912]
business : 9611795007, 110, 0, [559233, 954691]
economy : 2799481943, 181, 4, [643504, 559233]
business : 5691230403, 144, 1, [655078, 771686]
economy : 6124541371, 74, 8, [781975, 267593]
economy : 4220334593, 109, 4, [422578, 954691]
economy : 2772865438, 124, 2, [781975, 559233]
economy : 4869319786, 156, 3, [267593, 919072]
business : 7767445269, 133, 1, [655078, 267593]
economy : 4205617858, 187, 0, [422578, 771686]
business : 1111064167, 186, 9, [599912, 771686]
business : 5333192222, 163, 1, [954691, 267593]
economy : 7915346901, 40, 1, [919072, 599912]
economy : 9909843416, 175, 0, [771686, 655078]
economy : 1907456476, 79, 2, [919072, 954691]
economy : 6401722883, 132, 0, [919072, 559233]
economy : 9283485596, 187, 0, [267593, 559233]
business : 5746402847, 115, 0, [559233, 267593]
economy : 3316561716, 60, 2, [267593, 954691]
economy : 7391721683, 109, 2, [643504, 954691]
business : 2012954108, 158, 0, [267593, 599912]
economy : 8666142542, 199, 1, [781975, 655078]
business : 4765140726, 125, 0, [781975, 422578]
economy : 2221411718, 158, 0, [559233, 599912]
first : 5009480515, 93, 4, [559233, 919072]
economy : 3615682018, 56, 10, [643504, 422578]
economy : 5236011418, 99, 2, [954691, 781975]
economy : 4671995007, 153, 0, [267593, 655078]
economy : 7654331527, 88, 4, [781975, 559233]
economy : 9183545090, 95, 3, [422578, 771686]
economy : 3240342696, 97, 1, [781975, 655078]
economy : 4013973555, 73, 0, [643504, 559233]
luxury : 7313971909, 139, 2, [771686, 267593]
economy : 7228496619, 195, 2, [267593, 954691]
business : 6826093607, 95, 0, [267593, 599912]
economy : 4818730359, 54, 10, [781975, 771686]
first : 7094141540, 190, 2, [267593, 919072]
economy : 8172728068, 194, 2, [422578, 559233]
economy : 2513563288, 90, 4, [919072, 422578]
economy : 5583259811, 117, 4, [599912, 422578]
economy : 1748070852, 66, 2, [267593, 643504]
economy : 3103380215, 64, 2, [643504, 599912]
economy : 2245574596, 151, 1, [422578, 771686]
business : 8472930370, 45, 4, [919072, 643504]
first : 9993190154, 193, 2, [781975, 422578]
economy : 4804962706, 195, 0, [599912, 781975]
business : 9984729724, 93, 1, [422578, 655078]
business : 7505119892, 79, 5, [954691, 771686]
economy : 7220193733, 141, 0, [422578, 781975]
economy : 7478455536, 91, 4, [267593, 599912]
economy : 4794587046, 141, 10, [771686, 643504]
business : 7653876406, 46, 1, [919072, 655078]
economy : 5274296958, 84, 0, [919072, 267593]
economy : 5896075685, 157, 2, [771686, 267593]
economy : 6805070875, 94, 1, [954691, 422578]
business : 5286647430, 78, 2, [655078, 954691]
business : 9024449716, 42, 1, [599912, 643504]
business : 5928404577, 137, 4, [655078, 267593]
economy : 9687673826, 57, 6, [954691, 781975]
economy : 8682290445, 43, 0, [267593, 599912]
economy : 5827141387, 143, 3, [919072, 771686]
economy : 4405827206, 98, 2, [781975, 655078]
economy : 2238208300, 47, 2, [655078, 559233]
economy : 7746786840, 50, 3, [771686, 267593]
economy : 3918676045, 126, 1, [919072, 643504]
economy : 2993517318, 150, 4, [919072, 599912]
business : 7557027517, 154, 7, [655078, 771686]
economy : 8042251690, 50, 2, [781975, 919072]
business : 6452402461, 132, 1, [599912, 781975]
business : 1924588915, 175, 0, [559233, 771686]
economy : 8120351077, 181, 9, [771686, 954691]
economy : 5997274839, 108, 1, [267593, 954691]
economy : 2068042609, 82, 1, [919072, 267593]
economy : 2511962051, 178, 1, [954691, 771686]
economy : 9737477185, 62, 3, [781975, 599912]
business : 1896967317, 79, 3, [771686, 267593]
economy : 2130896933, 150, 6, [919072, 599912]
economy : 6473330746, 104, 1, [954691, 771686]
economy : 7355254191, 170, 3, [599912, 954691]
business : 9911378014, 187, 4, [655078, 919072]
economy : 5734367031, 197, 1, [781975, 559233]
first : 7499834600, 88, 2, [599912, 422578]
business : 3168282694, 105, 2, [559233, 919072]
economy : 2039193455, 98, 10, [267593, 643504]
economy : 9362460931, 41, 2, [954691, 559233]
economy : 3262394323, 97, 1, [422578, 643504]
business : 7417053659, 71, 4, [919072, 655078]
economy : 5353739048, 200, 2, [954691, 781975]
economy : 1398677747, 64, 1, [267593, 781975]
economy : 4723785458, 75, 2, [559233, 655078]
first : 6147734645, 64, 0, [599912, 267593]
business : 5675121210, 158, 1, [267593, 559233]
business : 6124987603, 106, 2, [771686, 643504]
luxury : 9713544308, 128, 1, [599912, 655078]
business : 5655021600, 59, 2, [422578, 781975]
economy : 5542323500, 44, 0, [422578, 919072]
economy : 9270807996, 150, 8, [422578, 599912]
economy : 7224381038, 108, 1, [919072, 422578]
economy : 7192600683, 186, 3, [422578, 559233]
economy : 4169150435, 121, 1, [559233, 422578]
business : 4907862841, 99, 0, [655078, 599912]
economy : 1417477503, 57, 2, [643504, 267593]
luxury : 3540647320, 184, 2, [781975, 655078]
economy : 5870515993, 179, 1, [919072, 771686]
economy : 7125195288, 63, 1, [267593, 781975]
economy : 5104696063, 145, 4, [559233, 599912]
economy : 1176466445, 101, 3, [919072, 771686]
first : 9204799739, 52, 1, [599912, 771686]
economy : 8244647753, 110, 2, [267593, 655078]
economy : 2475949202, 140, 5, [919072, 771686]
economy : 8138317011, 106, 2, [643504, 267593]
economy : 2607870472, 106, 2, [771686, 267593]
economy : 3097531878, 88, 0, [781975, 422578]
first : 5918104229, 185, 4, [771686, 599912]
economy : 9119775101, 168, 1, [919072, 643504]
economy : 1814986939, 71, 3, [599912, 771686]
business : 7215680269, 200, 7, [643504, 559233]
economy : 5648914620, 153, 2, [643504, 655078]
luxury : 1435607563, 96, 6, [599912, 954691]
business : 8391385785, 173, 1, [267593, 422578]
economy : 4942318162, 99, 3, [919072, 954691]
economy : 5585411402, 78, 0, [655078, 771686]
economy : 4569152393, 188, 2, [422578, 771686]
economy : 5585610219, 200, 10, [267593, 954691]
economy : 3544086282, 190, 2, [643504, 559233]
economy : 3431390422, 197, 2, [781975, 599912]
economy : 6541324376, 41, 3, [919072, 781975]
economy : 9656516200, 196, 2, [267593, 954691]
economy : 1178569896, 75, 3, [422578, 919072]
economy : 4359653828, 188, 1, [919072, 781975]
economy : 6838948125, 178, 0, [559233, 781975]
economy : 4104366984, 86, 0, [954691, 655078]
economy : 4425846264, 155, 2, [267593, 643504]
economy : 4796618000, 174, 6, [267593, 919072]
economy : 3248326862, 174, 0, [422578, 643504]
economy : 8110495076, 101, 1, [559233, 655078]
business : 7263366798, 183, 0, [559233, 643504]
economy : 8352797248, 144, 2, [267593, 655078]
economy : 1017148920, 170, 2, [655078, 954691]
economy : 9124208943, 159, 2, [954691, 781975]
business : 5771729048, 151, 1, [655078, 422578]
economy : 6465957749, 73, 2, [643504, 919072]
economy : 2150434941, 46, 0, [781975, 643504]
business : 8531158499, 130, 7, [422578, 919072]
economy : 8703060646, 95, 0, [643504, 655078]
business : 6121534486, 95, 2, [559233, 422578]
economy : 8341670799, 182, 0, [919072, 655078]
business : 6445099416, 116, 1, [954691, 559233]
business : 6642815014, 114, 2, [422578, 919072]
economy : 1834956538, 166, 1, [267593, 643504]
economy : 6471295480, 161, 1, [643504, 422578]
economy : 1610295846, 40, 5, [599912, 267593]
business : 4783131821, 135, 5, [267593, 919072]
business : 6440483673, 170, 3, [559233, 919072]
economy : 6364780737, 108, 0, [655078, 599912]
first : 5517183916, 200, 1, [771686, 643504]
business : 9814250366, 140, 1, [919072, 771686]
economy : 2836978017, 143, 1, [919072, 559233]
economy : 9072005453, 126, 1, [954691, 919072]
economy : 9777605890, 51, 3, [954691, 655078]
economy : 4911543551, 149, 2, [919072, 267593]
economy : 2332309728, 88, 7, [643504, 919072]
economy : 4809929844, 53, 10, [643504, 267593]
economy : 1555761727, 176, 1, [919072, 655078]
business : 6827483176, 47, 2, [599912, 771686]
business : 6885631806, 125, 7, [655078, 267593]
economy : 6609746302, 64, 5, [422578, 599912]
economy : 9383404606, 123, 2, [422578, 267593]
economy : 4775445620, 80, 1, [781975, 655078]
economy : 2791748268, 80, 2, [655078, 599912]
business : 3540463261, 133, 1, [771686, 267593]
economy : 7221169849, 104, 3, [599912, 919072]
economy : 9878087110, 152, 3, [422578, 954691]
economy : 8881641534, 72, 1, [954691, 422578]
economy : 2567205904, 200, 0, [919072, 655078]
economy : 4014764457, 68, 2, [919072, 771686]
economy : 6851843195, 133, 1, [267593, 422578]
economy : 6948052947, 180, 1, [559233, 781975]
economy : 4318837928, 73, 2, [267593, 643504]
economy : 6071804018, 170, 1, [267593, 599912]
first : 4931473280, 96, 6, [655078, 422578]
economy : 4650485040, 123, 2, [559233, 599912]
economy : 5743723673, 130, 2, [559233, 771686]
economy : 9647336877, 178, 2, [954691, 771686]
economy : 2436547602, 121, 1, [919072, 655078]
economy : 3517047258, 85, 3, [643504, 954691]
economy : 6030163757, 109, 2, [267593, 954691]
economy : 8891486891, 124, 1, [599912, 267593]
first : 8778605294, 161, 6, [559233, 422578]
economy : 9507936812, 124, 2, [267593, 422578]
economy : 7796179392, 84, 2, [919072, 599912]
economy : 2593336740, 62, 2, [771686, 559233]
business : 8516375996, 102, 2, [599912, 422578]
economy : 9404426859, 120, 1, [559233, 771686]
economy : 8617610731, 46, 1, [771686, 781975]
economy : 6709701387, 182, 2, [422578, 655078]
economy : 2642099084, 107, 3, [954691, 599912]
economy : 2904160521, 189, 0, [267593, 954691]
economy : 6140911324, 92, 0, [267593, 954691]
economy : 9341762441, 177, 2, [267593, 919072]
economy : 4458055015, 131, 1, [655078, 919072]
economy : 6427285347, 94, 1, [919072, 655078]
business : 7158748732, 53, 9, [771686, 267593]
economy : 8066889984, 132, 0, [599912, 771686]
economy : 7503052050, 141, 0, [643504, 599912]
economy : 2496014735, 121, 0, [267593, 781975]
economy : 6901025674, 105, 5, [781975, 599912]
luxury : 9310428087, 191, 2, [643504, 919072]
economy : 1862767762, 196, 3, [599912, 954691]
business : 7551303560, 54, 2, [599912, 781975]
business : 2778333713, 64, 2, [781975, 559233]
economy : 4879714414, 61, 1, [781975, 643504]
business : 3481313716, 102, 1, [954691, 643504]
economy : 4547430445, 146, 1, [781975, 559233]
economy : 3543046665, 184, 1, [422578, 655078]
economy : 4364006193, 160, 2, [559233, 771686]
economy : 6899618792, 140, 3, [771686, 643504]
economy : 6292411718, 44, 2, [599912, 422578]
economy : 4047264620, 195, 3, [919072, 422578]
economy : 8301312485, 119, 6, [643504, 781975]
economy : 1986323068, 66, 2, [919072, 643504]
economy : 8156985692, 188, 9, [559233, 599912]
economy : 9098223327, 44, 2, [954691, 781975]
luxury : 9827457537, 120, 10, [559233, 954691]
economy : 6111832417, 51, 1, [559233, 422578]
economy : 3219926920, 136, 1, [422578, 267593]
first : 2353314478, 65, 2, [422578, 599912]
economy : 6357741447, 128, 1, [267593, 771686]
economy : 5502550407, 183, 3, [599912, 655078]
economy : 6704240814, 157, 6, [919072, 599912]
economy : 4353899756, 176, 1, [422578, 919072]
economy : 5705689806, 69, 3, [599912, 919072]
economy : 8912517965, 120, 0, [599912, 559233]
business : 2750222501, 87, 1, [599912, 919072]
economy : 1322340334, 160, 1, [422578, 655078]
economy : 7286357434, 93, 1, [954691, 655078]
economy : 1742286970, 154, 2, [599912, 267593]
business : 8479437087, 192, 0, [267593, 559233]
first : 4222798368, 69, 3, [954691, 643504]
economy : 1954729293, 140, 0, [771686, 599912]
economy : 1065469910, 49, 3, [422578, 643504]
economy : 5406263278, 200, 2, [919072, 422578]
economy : 9637406599, 155, 2, [267593, 781975]
economy : 6229655686, 88, 0, [267593, 919072]
economy : 3560658584, 140, 2, [771686, 655078]
first : 3145941953, 154, 8, [954691, 267593]
economy : 7206548480, 200, 9, [954691, 781975]
business : 3918201853, 197, 5, [771686, 422578]
business : 3866433147, 165, 2, [655078, 559233]
economy : 5853513845, 105, 2, [919072, 267593]
business : 4695015943, 113, 1, [655078, 267593]
economy : 6734570867, 114, 2, [559233, 919072]
economy : 7625286050, 85, 0, [954691, 919072]
economy : 6880163268, 74, 6, [422578, 559233]
economy : 3513209906, 109, 4, [919072, 655078]
economy : 2335573812, 137, 2, [599912, 422578]
first : 3951933289, 59, 3, [559233, 599912]
economy : 8893457289, 60, 1, [781975, 422578]
economy : 4020526334, 180, 0, [422578, 954691]
economy : 7560836906, 45, 1, [954691, 559233]
business : 9334716615, 155, 0, [267593, 643504]
first : 3147393429, 148, 1, [643504, 422578]
economy : 3641507594, 63, 0, [919072, 954691]
economy : 3795162164, 70, 1, [559233, 655078]
economy : 7519934240, 115, 1, [559233, 919072]
business : 2231088421, 56, 1, [655078, 771686]
economy : 2965763752, 162, 1, [267593, 559233]
economy : 9264264801, 88, 2, [643504, 655078]
business : 6210060950, 110, 7, [599912, 954691]
business : 3328710194, 125, 6, [954691, 781975]
economy : 1290693851, 64, 0, [655078, 559233]
economy : 6305235231, 147, 1, [267593, 781975]
economy : 1393876491, 191, 1, [655078, 267593]
economy : 2416552969, 161, 0, [771686, 781975]
economy : 7999162621, 122, 1, [643504, 919072]
business : 4117622217, 81, 1, [781975, 559233]
economy : 4033033554, 157, 0, [919072, 267593]
business : 6995715519, 70, 3, [599912, 643504]
economy : 2882329258, 117, 1, [655078, 422578]
economy : 2650796856, 76, 6, [781975, 655078]
economy : 4739767665, 168, 1, [422578, 954691]
first : 5654533110, 190, 0, [771686, 954691]
business : 2289990557, 104, 3, [267593, 599912]
economy : 4601414560, 46, 4, [781975, 954691]
first : 6953805677, 57, 0, [599912, 422578]
economy : 8836871537, 48, 1, [771686, 655078]
economy : 9784235582, 195, 1, [559233, 599912]
economy : 6460935683, 41, 1, [919072, 422578]
economy : 1174305605, 166, 7, [771686, 267593]
economy : 8472738550, 199, 1, [643504, 771686]
economy : 2329737392, 132, 3, [643504, 919072]
economy : 2395793896, 89, 0, [643504, 422578]
economy : 5666077402, 44, 7, [954691, 599912]
economy : 3239896098, 196, 2, [422578, 919072]
first : 3562601368, 130, 5, [599912, 422578]
economy : 3051359943, 191, 3, [643504, 599912]
business : 7017221520, 110, 3, [267593, 643504]
economy : 9841911596, 196, 2, [954691, 771686]
economy : 9443853060, 75, 2, [954691, 422578]
economy : 9470867037, 147, 5, [919072, 781975]
economy : 3022778895, 57, 1, [771686, 267593]
economy : 9993544053, 154, 4, [267593, 919072]
economy : 6602635695, 164, 7, [781975, 771686]
economy : 2756840406, 68, 2, [643504, 422578]
first : 8833708539, 94, 1, [599912, 267593]
business : 4011078138, 130, 2, [771686, 599912]
economy : 2299649281, 199, 1, [919072, 599912]
economy : 6400367220, 195, 0, [559233, 422578]
economy : 1179673428, 172, 0, [643504, 954691]
first : 2170810288, 137, 9, [919072, 599912]
economy : 4742960118, 158, 3, [919072, 599912]
economy : 4286208122, 197, 1, [643504, 954691]
